feeder_id,state,date,units_injected_kwh,units_billed_kwh,loss_percentage,transformer_age_years,temperature_celsius,load_factor,smart_meter_installed,voltage_fluctuation,outage_hours_monthly
FEEDER_022,Maharashtra,2024-01-02,1453.85,1370.02,5.77,19,30.7,0.43,False,5.55,9.3
FEEDER_022,Gujarat,2024-01-03,501.66,354.72,29.29,14,29.4,0.93,True,4.53,10.7
FEEDER_022,Rajasthan,2024-01-04,1908.18,1663.39,12.83,20,32.2,0.87,False,8.45,17.4
FEEDER_022,Maharashtra,2024-01-05,3819.88,3365.03,11.91,24,35.4,0.62,False,2.82,8.6
FEEDER_022,Rajasthan,2024-01-06,1303.56,852.19,34.63,5,17.2,0.46,True,7.24,1.4
FEEDER_022,Bihar,2024-01-07,1730.0,1419.61,17.94,22,17.3,0.44,False,7.32,6.1
FEEDER_022,Uttar Pradesh,2024-01-08,1697.27,1410.14,16.92,5,16.7,0.91,False,1.55,12.5
FEEDER_022,West Bengal,2024-01-09,1715.4,1611.63,6.05,24,41.0,0.68,False,1.53,14.6
FEEDER_022,Rajasthan,2024-01-10,3180.76,2956.24,7.06,2,43.3,0.45,False,8.32,14.0
FEEDER_022,Rajasthan,2024-01-11,1103.76,772.03,30.05,18,40.9,0.48,True,6.52,7.7
FEEDER_022,Madhya Pradesh,2024-01-12,1763.38,1391.55,21.09,18,40.4,0.77,False,1.02,2.7
FEEDER_022,Tamil Nadu,2024-01-13,3148.76,2804.25,10.94,30,22.9,0.64,False,7.54,16.7
FEEDER_022,Maharashtra,2024-01-14,4304.73,3737.35,13.18,12,22.6,0.85,False,3.29,13.3
FEEDER_022,Madhya Pradesh,2024-01-15,1425.26,1245.15,12.64,16,31.1,0.77,True,9.91,18.9
FEEDER_022,Gujarat,2024-01-16,4186.76,3484.86,16.76,4,32.3,0.75,True,7.25,11.5
FEEDER_022,West Bengal,2024-01-17,4447.0,3087.37,30.57,13,33.1,0.54,True,2.46,12.9
FEEDER_022,Bihar,2024-01-18,4959.44,4323.04,12.83,12,44.9,0.87,True,0.74,16.3
FEEDER_022,Tamil Nadu,2024-01-19,4647.73,3719.1,19.98,4,39.1,0.85,True,6.06,6.8
FEEDER_022,Bihar,2024-01-20,1132.28,799.42,29.4,4,42.0,0.4,True,4.05,5.8
FEEDER_022,Maharashtra,2024-01-21,3336.17,2747.28,17.65,13,37.7,0.93,False,9.26,16.9
FEEDER_022,Madhya Pradesh,2024-01-22,3367.79,2386.53,29.14,1,31.4,0.72,True,5.56,18.5
FEEDER_022,Tamil Nadu,2024-01-23,734.18,561.23,23.56,7,33.7,0.81,True,5.82,19.2
FEEDER_022,Madhya Pradesh,2024-01-24,4831.92,4311.96,10.76,14,24.5,0.62,False,9.75,7.2
FEEDER_022,Bihar,2024-01-25,4939.39,3376.43,31.64,25,16.9,0.72,False,5.72,19.0
FEEDER_022,Bihar,2024-01-26,4730.48,4227.95,10.62,16,18.1,0.68,False,1.97,11.4
FEEDER_022,Gujarat,2024-01-27,4062.34,3843.37,5.39,7,29.4,0.79,True,4.93,13.8
FEEDER_022,Madhya Pradesh,2024-01-28,3076.06,2792.33,9.22,26,21.6,0.4,False,4.85,3.4
FEEDER_022,Uttar Pradesh,2024-01-29,2230.99,2053.5,7.96,16,41.6,0.45,True,5.12,1.5
FEEDER_022,Rajasthan,2024-01-30,4194.9,2771.01,33.94,11,20.3,0.42,True,4.58,5.4
FEEDER_023,Maharashtra,2024-01-01,1051.66,727.05,30.87,8,19.5,0.92,False,5.05,9.5
FEEDER_023,Bihar,2024-01-02,2993.64,2424.64,19.01,12,39.7,0.53,False,0.65,6.1
FEEDER_023,Maharashtra,2024-01-03,1713.97,1420.83,17.1,17,24.1,0.47,True,5.87,0.3
FEEDER_023,Madhya Pradesh,2024-01-04,2653.6,2511.82,5.34,29,27.9,0.6,False,1.53,4.2
FEEDER_023,Uttar Pradesh,2024-01-05,4847.31,4169.66,13.98,30,25.5,0.76,True,8.33,15.2
FEEDER_023,Maharashtra,2024-01-06,1578.38,1376.34,12.8,27,42.1,0.91,False,1.32,9.4
FEEDER_023,Maharashtra,2024-01-07,1699.97,1596.28,6.1,1,31.9,0.7,True,6.76,19.8
FEEDER_023,Tamil Nadu,2024-01-08,1611.1,1374.78,14.67,26,33.5,0.51,True,8.68,7.6
FEEDER_023,Rajasthan,2024-01-09,1326.71,1016.23,23.4,22,20.1,0.68,True,6.93,13.4
FEEDER_023,Gujarat,2024-01-10,3495.32,3073.3,12.07,11,30.6,0.75,False,4.91,1.8
FEEDER_023,Madhya Pradesh,2024-01-11,2048.28,1714.7,16.29,13,38.7,0.42,False,4.92,12.1
FEEDER_023,Tamil Nadu,2024-01-12,4553.85,3742.76,17.81,7,17.2,0.85,True,2.71,2.3
FEEDER_023,Madhya Pradesh,2024-01-13,4932.7,4081.95,17.25,21,40.6,0.66,True,6.23,9.0
FEEDER_023,Tamil Nadu,2024-01-14,2867.89,1930.75,32.68,13,19.6,0.48,False,8.23,2.7
FEEDER_023,Gujarat,2024-01-15,2304.68,1688.8,26.72,1,17.8,0.87,False,8.76,6.4
FEEDER_023,Rajasthan,2024-01-16,3895.46,3505.35,10.01,29,29.6,0.43,True,7.62,11.7
FEEDER_023,Maharashtra,2024-01-17,4586.85,3740.82,18.44,30,15.0,0.85,False,7.24,2.8
FEEDER_023,Madhya Pradesh,2024-01-18,2889.22,2326.71,19.47,21,18.2,0.93,True,4.61,15.3
FEEDER_023,West Bengal,2024-01-19,4626.46,4013.65,13.25,9,17.7,0.52,True,7.63,6.4
FEEDER_023,Bihar,2024-01-20,552.65,496.52,10.16,29,16.4,0.69,False,9.72,6.1
FEEDER_023,Uttar Pradesh,2024-01-21,2474.99,2293.69,7.33,22,24.5,0.71,False,2.33,0.1
FEEDER_023,Gujarat,2024-01-22,812.15,528.66,34.91,25,26.4,0.65,True,5.82,7.7
FEEDER_023,Bihar,2024-01-23,1049.59,879.77,16.18,8,24.1,0.58,False,1.08,4.2
FEEDER_023,Madhya Pradesh,2024-01-24,3634.64,2494.93,31.36,2,22.1,0.51,True,6.92,1.1
FEEDER_023,Tamil Nadu,2024-01-25,2108.62,1375.22,34.78,5,28.6,0.83,True,3.66,5.3
FEEDER_023,Maharashtra,2024-01-26,2983.97,2019.93,32.31,2,43.1,0.55,True,4.37,18.5
FEEDER_023,Gujarat,2024-01-27,1921.69,1640.93,14.61,5,27.8,0.88,False,5.14,4.4
FEEDER_023,Bihar,2024-01-28,2132.4,1657.94,22.25,30,17.3,0.55,True,4.57,9.2
FEEDER_023,Gujarat,2024-01-29,505.58,382.99,24.25,30,36.3,0.9,False,9.11,17.3
FEEDER_023,Tamil Nadu,2024-01-30,515.78,377.31,26.85,21,26.1,0.86,False,8.92,7.0
FEEDER_024,West Bengal,2024-01-01,4316.09,3278.05,24.05,20,27.9,0.53,True,2.89,14.1
FEEDER_024,Tamil Nadu,2024-01-02,4822.4,3912.4,18.87,11,18.6,0.54,True,6.75,6.7
FEEDER_024,Maharashtra,2024-01-03,1900.49,1559.34,17.95,28,23.2,0.66,True,7.63,15.9
FEEDER_024,Madhya Pradesh,2024-01-04,1825.41,1702.48,6.73,27,34.4,0.53,True,2.54,10.6
FEEDER_024,Gujarat,2024-01-05,1541.39,1276.82,17.16,21,22.9,0.91,False,0.63,4.9
FEEDER_024,Maharashtra,2024-01-06,4300.05,3076.81,28.45,15,41.0,0.7,True,1.01,4.2
FEEDER_024,Maharashtra,2024-01-07,2548.18,1902.3,25.35,10,34.2,0.54,True,2.51,9.9
FEEDER_024,Maharashtra,2024-01-08,3201.25,2603.67,18.67,27,31.7,0.63,True,0.74,5.7
FEEDER_024,Tamil Nadu,2024-01-09,1980.16,1576.78,20.37,30,15.6,0.59,True,1.69,4.5
FEEDER_024,West Bengal,2024-01-10,3521.43,3082.26,12.47,28,20.3,0.7,False,2.97,8.3
FEEDER_024,Uttar Pradesh,2024-01-11,2088.15,1794.33,14.07,10,30.1,0.45,False,0.64,14.5
FEEDER_024,Tamil Nadu,2024-01-12,2110.11,1919.04,9.05,24,42.0,0.74,False,4.5,13.8
FEEDER_024,West Bengal,2024-01-13,4111.71,3144.26,23.53,10,43.7,0.67,True,6.69,19.3
FEEDER_024,West Bengal,2024-01-14,4567.64,3822.22,16.32,2,19.2,0.55,False,1.8,0.3
FEEDER_024,Tamil Nadu,2024-01-15,4428.97,3182.45,28.14,5,27.8,0.42,False,2.78,2.6
FEEDER_024,Rajasthan,2024-01-16,1806.93,1345.33,25.55,27,20.8,0.84,False,5.38,18.2
FEEDER_024,Uttar Pradesh,2024-01-17,3648.48,3335.73,8.57,25,43.6,0.45,False,4.53,3.2
FEEDER_024,Bihar,2024-01-18,1214.49,1135.64,6.49,30,44.3,0.89,False,9.51,15.6
FEEDER_024,Madhya Pradesh,2024-01-19,1767.14,1300.32,26.42,21,44.4,0.84,False,2.68,10.7
FEEDER_024,Maharashtra,2024-01-20,4877.64,4271.9,12.42,14,33.2,0.81,False,8.74,0.3
FEEDER_024,Bihar,2024-01-21,1623.67,1475.86,9.1,29,17.5,0.83,False,9.65,19.4
FEEDER_024,Tamil Nadu,2024-01-22,2794.04,2609.18,6.62,29,37.5,0.91,True,6.99,9.8
FEEDER_024,West Bengal,2024-01-23,2577.62,2041.31,20.81,30,30.7,0.74,False,3.11,4.5
FEEDER_024,Bihar,2024-01-24,641.94,439.37,31.56,17,44.5,0.95,False,2.55,9.7
FEEDER_024,Bihar,2024-01-25,1909.82,1484.79,22.26,7,20.8,0.46,True,3.38,16.8
FEEDER_024,Tamil Nadu,2024-01-26,1230.23,828.6,32.65,15,44.7,0.87,True,9.35,13.1
FEEDER_024,Madhya Pradesh,2024-01-27,4502.2,3318.46,26.29,8,23.6,0.68,False,9.77,13.2
FEEDER_024,Rajasthan,2024-01-28,916.87,802.62,12.46,17,39.1,0.5,True,6.67,10.2
FEEDER_024,Uttar Pradesh,2024-01-29,3955.29,2739.98,30.73,4,33.6,0.66,False,8.51,8.5
FEEDER_024,West Bengal,2024-01-30,4168.5,2877.6,30.97,2,21.7,0.56,True,9.07,5.8
FEEDER_025,Madhya Pradesh,2024-01-01,2248.8,2053.87,8.67,28,43.5,0.48,True,9.44,1.2
FEEDER_025,Maharashtra,2024-01-02,3834.36,3562.45,7.09,7,38.4,0.93,False,2.41,8.8
FEEDER_025,Tamil Nadu,2024-01-03,1433.19,1098.33,23.37,7,16.8,0.85,False,3.06,15.6
FEEDER_025,Uttar Pradesh,2024-01-04,3219.42,2506.75,22.14,4,40.0,0.6,False,5.18,0.4
FEEDER_025,West Bengal,2024-01-05,3656.61,2492.99,31.82,7,39.4,0.95,False,8.19,8.7
FEEDER_025,Rajasthan,2024-01-06,2338.3,2184.23,6.59,10,43.6,0.73,True,7.13,5.4
FEEDER_025,Tamil Nadu,2024-01-07,1839.26,1561.25,15.12,16,31.4,0.55,False,3.06,3.4
FEEDER_025,Rajasthan,2024-01-08,2391.56,2056.67,14.0,28,18.7,0.88,True,5.09,6.8
FEEDER_025,Uttar Pradesh,2024-01-09,1898.83,1577.63,16.92,14,41.7,0.94,True,3.61,4.3
FEEDER_025,West Bengal,2024-01-10,3069.15,2788.13,9.16,5,15.7,0.69,False,5.73,9.4
FEEDER_025,West Bengal,2024-01-11,3177.09,2086.51,34.33,21,38.3,0.41,False,2.29,8.4
FEEDER_025,Tamil Nadu,2024-01-12,4639.26,3771.69,18.7,18,44.7,0.44,False,3.74,16.0
FEEDER_025,Gujarat,2024-01-13,3707.52,3456.7,6.77,9,43.6,0.91,True,8.58,7.3
FEEDER_025,Uttar Pradesh,2024-01-14,2064.06,1718.59,16.74,23,31.2,0.8,True,9.43,7.2
FEEDER_025,Bihar,2024-01-15,2421.2,2231.93,7.82,10,21.0,0.92,True,6.28,3.8
FEEDER_025,Madhya Pradesh,2024-01-16,1053.9,858.98,18.49,30,40.8,0.94,True,0.6,0.6
FEEDER_025,Madhya Pradesh,2024-01-17,877.95,652.39,25.69,2,15.9,0.5,False,2.23,7.0
FEEDER_025,Gujarat,2024-01-18,3110.94,2217.94,28.71,3,35.2,0.81,True,5.44,0.0
FEEDER_025,West Bengal,2024-01-19,2861.76,2256.78,21.14,16,27.9,0.46,False,1.49,14.1
FEEDER_025,Uttar Pradesh,2024-01-20,2806.57,2566.29,8.56,7,22.8,0.55,True,5.68,8.4
FEEDER_025,Madhya Pradesh,2024-01-21,2424.79,1900.86,21.61,6,19.8,0.75,True,2.75,6.1
FEEDER_025,Rajasthan,2024-01-22,4936.33,4278.75,13.32,15,44.4,0.46,True,6.81,3.3
FEEDER_025,Tamil Nadu,2024-01-23,2349.0,1907.25,18.81,7,41.5,0.82,False,6.95,7.5
FEEDER_025,West Bengal,2024-01-24,637.72,527.27,17.32,11,26.9,0.65,True,6.85,1.3
FEEDER_025,Bihar,2024-01-25,3847.34,3163.36,17.78,2,41.2,0.46,True,2.77,1.9
FEEDER_025,Madhya Pradesh,2024-01-26,3339.48,2488.65,25.48,1,25.3,0.77,False,2.42,3.7
FEEDER_025,Bihar,2024-01-27,1015.81,927.27,8.72,21,32.0,0.7,True,1.12,11.7
FEEDER_025,Maharashtra,2024-01-28,1792.85,1309.6,26.95,2,40.4,0.65,False,3.72,3.9
FEEDER_025,Madhya Pradesh,2024-01-29,899.17,778.52,13.42,27,31.0,0.64,False,8.43,13.1
FEEDER_025,Madhya Pradesh,2024-01-30,3222.05,2902.42,9.92,13,15.2,0.54,False,9.01,0.9
FEEDER_026,Gujarat,2024-01-01,4452.4,4006.02,10.03,8,22.4,0.66,False,2.44,13.0
FEEDER_026,West Bengal,2024-01-02,848.19,599.52,29.32,1,20.7,0.48,False,4.69,6.6
FEEDER_026,Maharashtra,2024-01-03,1555.8,1112.76,28.48,29,34.4,0.77,False,9.62,2.6
FEEDER_026,West Bengal,2024-01-04,2645.56,2078.73,21.43,23,18.4,0.64,False,5.99,7.4
FEEDER_026,Gujarat,2024-01-05,1449.63,1290.41,10.98,18,21.1,0.94,False,6.56,3.8
FEEDER_026,Uttar Pradesh,2024-01-06,531.33,454.19,14.52,23,30.9,0.57,True,9.73,16.4
FEEDER_026,Maharashtra,2024-01-07,1074.1,739.28,31.17,8,31.3,0.54,False,8.24,4.6
FEEDER_026,Gujarat,2024-01-08,3369.83,2551.37,24.29,13,18.0,0.92,True,2.22,8.0
FEEDER_026,Madhya Pradesh,2024-01-09,2353.66,1874.44,20.36,17,25.8,0.9,False,1.93,0.1
FEEDER_026,West Bengal,2024-01-10,2237.04,1740.04,22.22,20,34.1,0.75,False,9.35,13.8
FEEDER_026,Madhya Pradesh,2024-01-11,1224.36,1055.21,13.81,17,20.9,0.77,False,0.79,14.4
FEEDER_026,Rajasthan,2024-01-12,1810.24,1486.91,17.86,28,39.8,0.77,True,8.7,3.4
FEEDER_026,Maharashtra,2024-01-13,1991.04,1329.26,33.24,5,37.0,0.55,False,8.41,3.4
FEEDER_026,Uttar Pradesh,2024-01-14,4501.96,3631.67,19.33,1,23.8,0.63,True,2.67,6.7
FEEDER_026,Rajasthan,2024-01-15,635.44,483.45,23.92,21,41.4,0.8,True,9.87,16.1
FEEDER_026,Madhya Pradesh,2024-01-16,756.62,692.5,8.47,23,34.0,0.7,True,3.91,4.4
FEEDER_026,Gujarat,2024-01-17,2210.73,1586.0,28.26,6,20.8,0.72,True,1.53,17.1
FEEDER_026,Gujarat,2024-01-18,1825.37,1682.49,7.83,28,24.2,0.91,True,4.29,9.1
FEEDER_026,Gujarat,2024-01-19,4560.53,3312.18,27.37,2,18.7,0.84,True,1.41,7.4
FEEDER_026,Gujarat,2024-01-20,4811.37,3576.44,25.67,18,30.3,0.84,True,6.12,5.9
FEEDER_026,Rajasthan,2024-01-21,3603.28,3068.41,14.84,26,24.9,0.71,False,5.71,4.8
FEEDER_026,Rajasthan,2024-01-22,3967.81,3515.46,11.4,28,42.6,0.46,True,6.52,16.0
FEEDER_026,Uttar Pradesh,2024-01-23,3227.66,2531.67,21.56,7,20.9,0.44,True,3.43,15.7
FEEDER_026,Gujarat,2024-01-24,814.57,580.94,28.68,14,33.9,0.57,False,5.26,19.8
FEEDER_026,Bihar,2024-01-25,1248.87,1111.44,11.0,15,40.0,0.57,True,8.82,2.6
FEEDER_026,Rajasthan,2024-01-26,584.83,547.35,6.41,21,38.2,0.74,False,4.49,1.0
FEEDER_026,Madhya Pradesh,2024-01-27,1155.01,1061.37,8.11,1,20.2,0.51,True,3.24,13.4
FEEDER_026,Maharashtra,2024-01-28,3501.38,2611.84,25.41,16,21.3,0.84,False,5.48,13.9
FEEDER_026,Rajasthan,2024-01-29,4318.57,3001.54,30.5,25,28.2,0.56,True,4.42,12.4
FEEDER_026,West Bengal,2024-01-30,1962.23,1559.98,20.5,9,43.0,0.43,True,7.38,1.4
FEEDER_027,Uttar Pradesh,2024-01-01,4358.62,3542.92,18.71,12,16.8,0.89,True,2.08,13.2
FEEDER_027,West Bengal,2024-01-02,2515.04,1828.37,27.3,7,32.1,0.75,True,6.95,1.0
FEEDER_027,Uttar Pradesh,2024-01-03,4215.76,3787.88,10.15,21,29.9,0.88,True,8.73,5.8
FEEDER_027,Rajasthan,2024-01-04,669.97,469.94,29.86,18,37.6,0.54,True,5.86,15.7
FEEDER_027,Madhya Pradesh,2024-01-05,4196.73,3334.63,20.54,7,26.5,0.57,False,9.89,6.1
FEEDER_027,Maharashtra,2024-01-06,1514.95,1087.13,28.24,5,39.6,0.77,True,2.15,2.7
FEEDER_027,Gujarat,2024-01-07,1338.92,1029.45,23.11,3,25.0,0.92,True,6.99,4.9
FEEDER_027,Madhya Pradesh,2024-01-08,2730.07,1911.17,30.0,18,18.2,0.58,False,3.45,7.0
FEEDER_027,Bihar,2024-01-09,3325.92,2898.04,12.86,9,27.2,0.83,True,4.53,3.3
FEEDER_027,Uttar Pradesh,2024-01-10,4262.52,3671.76,13.86,4,42.2,0.87,False,6.49,11.2
FEEDER_027,Rajasthan,2024-01-11,957.74,624.92,34.75,24,30.4,0.7,False,5.95,15.9
FEEDER_027,Uttar Pradesh,2024-01-12,1049.96,891.55,15.09,28,23.8,0.94,False,5.82,13.7
FEEDER_027,Uttar Pradesh,2024-01-13,2187.91,1910.34,12.69,25,19.5,0.69,False,1.5,16.9
FEEDER_027,Gujarat,2024-01-14,3644.29,3089.33,15.23,4,15.6,0.64,True,7.54,8.4
FEEDER_027,West Bengal,2024-01-15,1708.79,1361.28,20.34,8,35.8,0.51,True,7.61,7.3
FEEDER_027,Uttar Pradesh,2024-01-16,2407.19,1931.89,19.74,3,37.1,0.6,False,6.32,9.7
FEEDER_027,Uttar Pradesh,2024-01-17,2312.68,1922.37,16.88,16,17.1,0.72,True,6.58,8.0
FEEDER_027,Maharashtra,2024-01-18,3284.28,2404.2,26.8,2,40.8,0.7,False,2.51,2.9
FEEDER_027,Uttar Pradesh,2024-01-19,4369.28,3030.74,30.64,12,25.2,0.47,False,4.73,7.5
FEEDER_027,West Bengal,2024-01-20,3156.39,2654.37,15.9,25,29.3,0.59,False,1.32,7.8
FEEDER_027,Madhya Pradesh,2024-01-21,1062.94,755.17,28.95,30,21.3,0.5,False,0.93,7.7
FEEDER_027,Maharashtra,2024-01-22,2947.63,2204.41,25.21,2,24.6,0.51,True,2.05,14.4
FEEDER_027,Bihar,2024-01-23,4286.97,3924.95,8.44,19,19.7,0.81,True,1.29,4.5
FEEDER_027,Tamil Nadu,2024-01-24,3826.85,2983.1,22.05,7,38.9,0.57,False,9.7,0.1
FEEDER_027,West Bengal,2024-01-25,2611.77,2229.75,14.63,8,19.9,0.66,False,8.06,10.3
FEEDER_027,Rajasthan,2024-01-26,1415.46,1089.02,23.06,17,23.3,0.89,True,8.57,20.0
FEEDER_027,Madhya Pradesh,2024-01-27,4355.95,3900.47,10.46,20,39.7,0.84,True,3.71,17.4
FEEDER_027,Maharashtra,2024-01-28,3434.19,2677.13,22.04,27,43.4,0.41,True,5.55,0.5
FEEDER_027,Tamil Nadu,2024-01-29,1563.39,1134.15,27.46,4,29.9,0.79,True,6.03,4.9
FEEDER_027,Tamil Nadu,2024-01-30,3610.56,3425.95,5.11,13,20.1,0.63,True,6.99,4.3
FEEDER_028,Tamil Nadu,2024-01-01,1166.32,1012.7,13.17,16,42.6,0.42,False,2.8,7.5
FEEDER_028,Rajasthan,2024-01-02,4318.62,3191.02,26.11,2,32.0,0.54,False,9.61,18.6
FEEDER_028,West Bengal,2024-01-03,3620.96,2979.87,17.71,19,30.4,0.9,False,1.27,0.8
FEEDER_028,Gujarat,2024-01-04,773.75,516.67,33.23,18,35.8,0.47,True,3.48,18.7
FEEDER_028,Maharashtra,2024-01-05,3360.54,2754.07,18.05,30,44.2,0.6,True,1.49,12.6
FEEDER_028,Madhya Pradesh,2024-01-06,3311.57,3016.31,8.92,23,19.9,0.88,False,5.2,10.3
FEEDER_028,West Bengal,2024-01-07,719.42,608.13,15.47,21,15.3,0.77,False,7.03,8.4
FEEDER_028,Tamil Nadu,2024-01-08,3489.0,3136.74,10.1,28,26.6,0.53,False,8.84,9.7
FEEDER_028,Maharashtra,2024-01-09,4373.27,3516.71,19.59,1,42.7,0.42,True,2.25,4.8
FEEDER_028,Bihar,2024-01-10,2723.9,2286.12,16.07,20,27.8,0.55,True,5.31,2.3
FEEDER_028,Rajasthan,2024-01-11,968.13,703.04,27.38,10,40.0,0.79,True,9.19,7.9
FEEDER_028,Madhya Pradesh,2024-01-12,4591.3,3781.92,17.63,3,26.6,0.8,False,1.55,16.6
FEEDER_028,Tamil Nadu,2024-01-13,2814.3,1843.45,34.5,3,27.1,0.89,True,5.53,14.3
FEEDER_028,West Bengal,2024-01-14,2558.01,2223.33,13.08,15,35.9,0.7,False,6.09,9.3
FEEDER_028,West Bengal,2024-01-15,2596.97,2261.14,12.93,25,39.4,0.46,False,2.99,17.5
FEEDER_028,Bihar,2024-01-16,3368.25,2658.11,21.08,9,21.1,0.54,False,5.31,14.9
FEEDER_028,Rajasthan,2024-01-17,1310.14,1054.04,19.55,29,44.0,0.71,False,9.49,19.1
FEEDER_028,Maharashtra,2024-01-18,859.5,682.54,20.59,3,16.3,0.47,True,1.71,11.7
FEEDER_028,Uttar Pradesh,2024-01-19,1758.9,1621.83,7.79,18,30.3,0.48,True,4.67,2.3
FEEDER_028,West Bengal,2024-01-20,829.58,614.24,25.96,16,39.9,0.7,True,9.55,10.6
FEEDER_028,Bihar,2024-01-21,4660.32,3675.42,21.13,14,30.7,0.77,True,7.39,5.4
FEEDER_028,Maharashtra,2024-01-22,1388.09,978.83,29.48,30,28.7,0.88,True,8.16,10.7
FEEDER_028,Madhya Pradesh,2024-01-23,506.27,462.22,8.7,4,19.0,0.74,True,5.35,13.5
FEEDER_028,Gujarat,2024-01-24,4988.74,4643.55,6.92,26,29.7,0.73,False,6.64,6.3
FEEDER_028,Bihar,2024-01-25,1142.86,802.2,29.81,24,41.5,0.69,True,3.14,19.5
FEEDER_028,Uttar Pradesh,2024-01-26,4605.25,3192.56,30.68,17,26.6,0.63,True,3.8,8.0
FEEDER_028,Madhya Pradesh,2024-01-27,1915.03,1581.88,17.4,7,25.5,0.49,True,1.05,18.8
FEEDER_028,Maharashtra,2024-01-28,4100.33,3887.62,5.19,3,32.9,0.45,True,3.39,6.8
FEEDER_028,Gujarat,2024-01-29,2578.22,1824.04,29.25,1,42.1,0.79,True,8.56,2.5
FEEDER_028,Uttar Pradesh,2024-01-30,2882.41,2093.32,27.38,10,33.7,0.91,True,1.99,17.2
FEEDER_029,Rajasthan,2024-01-01,3135.23,2616.95,16.53,17,29.0,0.91,False,1.16,9.0
FEEDER_029,Maharashtra,2024-01-02,1929.98,1523.8,21.05,23,15.9,0.92,True,0.77,19.5
FEEDER_029,Rajasthan,2024-01-03,1375.4,1111.14,19.21,4,34.3,0.55,True,7.54,9.0
FEEDER_029,Rajasthan,2024-01-04,615.11,491.47,20.1,4,29.1,0.43,False,6.63,1.3
FEEDER_029,Uttar Pradesh,2024-01-05,4360.39,3454.03,20.79,28,39.9,0.86,False,9.62,14.5
FEEDER_029,West Bengal,2024-01-06,2630.52,2358.82,10.33,24,32.3,0.71,True,1.87,3.2
FEEDER_029,Rajasthan,2024-01-07,4719.25,3237.35,31.4,13,17.4,0.93,False,9.76,9.3
FEEDER_029,West Bengal,2024-01-08,2086.31,1817.09,12.9,21,32.1,0.82,False,3.1,3.8
FEEDER_029,Gujarat,2024-01-09,1378.58,1186.08,13.96,28,40.4,0.43,False,6.95,10.2
FEEDER_029,Tamil Nadu,2024-01-10,4038.81,3460.81,14.31,6,38.4,0.73,True,7.34,12.9
FEEDER_029,Rajasthan,2024-01-11,790.34,675.52,14.53,28,32.7,0.84,False,5.66,11.1
FEEDER_029,Uttar Pradesh,2024-01-12,1697.12,1307.67,22.95,30,32.6,0.76,False,7.41,6.4
FEEDER_029,West Bengal,2024-01-13,3676.21,2568.47,30.13,10,17.5,0.62,False,3.5,12.7
FEEDER_029,Rajasthan,2024-01-14,916.97,749.51,18.26,17,29.6,0.62,False,2.17,14.7
FEEDER_029,Uttar Pradesh,2024-01-15,3665.83,2736.85,25.34,2,26.7,0.92,False,0.73,15.1
FEEDER_029,Gujarat,2024-01-16,1466.12,1243.8,15.16,28,22.9,0.5,True,6.62,18.5
FEEDER_029,Gujarat,2024-01-17,537.0,428.85,20.14,22,34.8,0.85,True,8.51,1.6
FEEDER_029,Gujarat,2024-01-18,2347.78,1614.44,31.24,25,20.6,0.4,True,4.95,0.3
FEEDER_029,Bihar,2024-01-19,2190.55,1769.91,19.2,10,21.2,0.76,False,8.83,7.2
FEEDER_029,Gujarat,2024-01-20,3022.02,2125.66,29.66,21,39.8,0.49,False,5.95,0.6
FEEDER_029,Bihar,2024-01-21,3086.92,2175.41,29.53,4,25.7,0.44,True,1.44,19.2
FEEDER_029,Madhya Pradesh,2024-01-22,1434.57,1330.9,7.23,10,43.0,0.47,True,0.78,5.7
FEEDER_029,Rajasthan,2024-01-23,2521.29,2019.61,19.9,18,22.1,0.83,False,4.28,19.4
FEEDER_029,West Bengal,2024-01-24,4605.49,3675.94,20.18,21,22.2,0.83,False,4.66,5.9
FEEDER_029,Bihar,2024-01-25,1172.73,922.57,21.33,28,31.7,0.87,True,7.59,19.7
FEEDER_029,Maharashtra,2024-01-26,3923.99,3490.01,11.06,13,26.8,0.85,True,7.83,17.1
FEEDER_029,West Bengal,2024-01-27,4185.62,3762.52,10.11,4,36.2,0.87,False,4.05,6.3
FEEDER_029,Uttar Pradesh,2024-01-28,1842.26,1579.22,14.28,13,29.0,0.83,True,1.81,1.5
FEEDER_029,Bihar,2024-01-29,4236.73,3210.32,24.23,13,28.5,0.9,True,8.63,18.2
FEEDER_029,West Bengal,2024-01-30,4220.89,3691.34,12.55,17,40.7,0.58,True,5.41,5.6
FEEDER_030,Maharashtra,2024-01-01,686.58,578.34,15.77,1,30.1,0.9,True,1.76,11.2
FEEDER_030,Rajasthan,2024-01-02,1419.39,925.62,34.79,14,44.1,0.77,True,8.74,6.0
FEEDER_030,Uttar Pradesh,2024-01-03,1614.42,1202.12,25.54,19,29.5,0.78,False,3.97,5.5
FEEDER_030,Maharashtra,2024-01-04,1404.87,1089.56,22.44,8,35.3,0.48,True,2.17,16.7
FEEDER_030,Tamil Nadu,2024-01-05,4778.38,4425.85,7.38,21,29.3,0.91,False,1.51,5.6
FEEDER_030,Madhya Pradesh,2024-01-06,3199.84,2973.72,7.07,7,44.8,0.51,True,1.48,15.2
FEEDER_030,Maharashtra,2024-01-07,3082.05,2429.93,21.16,20,37.9,0.59,False,5.87,16.2
FEEDER_030,Bihar,2024-01-08,2241.29,1531.4,31.67,9,25.1,0.74,True,3.0,9.1
